goals1,goals2,r_cards1,r_cards2,yellow_cards1,yellow_cards2,league,treat,type,red_cards,yellow_cards,total_cards,total_goals,mus_ref
1,0,0,0,1,2,league1_wave2,1,treated,0,3,3,1,0
1,1,0,0,1,5,league1_wave2,0,control,0,6,6,2,0
5,2,0,0,3,2,league1_wave2,0,mixed,0,5,5,7,0
2,1,1,1,5,5,league1_wave2,1,mixed,2,10,12,3,0
1,0,0,0,1,2,league1_wave2,0,mixed,0,3,3,1,0
1,5,0,0,2,1,league3_wave1,1,treated,0,3,3,6,0
2,4,0,0,2,2,league3_wave1,1,treated,0,4,4,6,0
3,3,0,0,4,1,league3_wave1,1,mixed,0,5,5,6,0
3,0,0,1,0,2,league3_wave1,1,treated,1,2,3,3,0
0,3,0,1,3,2,league3_wave1,0,mixed,1,5,6,3,0
2,3,0,0,3,3,league3_wave1,1,mixed,0,6,6,5,0
0,1,0,0,3,2,league3_wave1,0,mixed,0,5,5,1,0
2,0,0,0,2,0,league3_wave1,1,treated,0,2,2,2,0
3,3,1,0,1,1,league3_wave1,1,treated,1,2,3,6,0
3,1,0,1,1,2,league3_wave1,0,mixed,1,3,4,4,0
8,1,0,1,0,0,league3_wave1,1,treated,1,0,1,9,0
1,4,0,0,1,0,league3_wave1,0,mixed,0,1,1,5,0
1,3,0,0,1,1,league3_wave1,1,treated,0,2,2,4,0
1,0,0,0,1,1,league3_wave1,0,control,0,2,2,1,0
3,1,0,1,2,1,league3_wave1,1,treated,1,3,4,4,0
3,2,0,0,2,1,league3_wave1,1,treated,0,3,3,5,0
3,2,1,1,1,3,league3_wave1,1,mixed,2,4,6,5,0
0,3,2,0,2,2,league3_wave1,1,treated,2,4,6,3,0
0,5,0,0,0,0,league3_wave1,0,mixed,0,0,0,5,0
1,4,0,0,0,0,league3_wave1,0,mixed,0,0,0,5,0
3,2,0,1,3,2,league3_wave1,0,mixed,1,5,6,5,0
2,6,0,0,2,1,league3_wave1,1,treated,0,3,3,8,0
2,1,0,0,3,1,league3_wave1,0,mixed,0,4,4,3,0
2,1,0,0,1,0,league3_wave1,0,mixed,0,1,1,3,0
2,1,0,0,2,3,league3_wave1,1,treated,0,5,5,3,0
2,1,0,0,2,0,league3_wave1,0,control,0,2,2,3,0
1,3,0,0,1,2,league3_wave1,1,treated,0,3,3,4,0
2,6,0,0,2,0,league3_wave1,1,treated,0,2,2,8,0
4,3,0,0,0,1,league3_wave1,1,treated,0,1,1,7,0
2,0,0,0,1,3,league3_wave1,1,treated,0,4,4,2,0
1,1,0,0,1,5,league3_wave1,0,mixed,0,6,6,2,0
3,4,0,0,3,2,league3_wave1,1,treated,0,5,5,7,0
1,2,0,0,0,1,league3_wave1,1,treated,0,1,1,3,0
2,2,1,0,4,2,league3_wave1,0,control,1,6,7,4,0
1,11,0,0,0,0,league3_wave1,0,mixed,0,0,0,12,0
2,1,0,0,1,0,league3_wave1,0,mixed,0,1,1,3,0
1,4,0,0,2,4,league3_wave1,0,mixed,0,6,6,5,0
2,3,1,0,1,2,league3_wave1,0,mixed,1,3,4,5,0
0,5,0,0,1,0,league3_wave1,0,mixed,0,1,1,5,0
4,1,0,0,2,2,league3_wave1,1,treated,0,4,4,5,0
1,1,0,0,3,3,league3_wave1,1,mixed,0,6,6,2,0
1,3,3,1,4,4,league3_wave1,1,treated,4,8,12,4,0
0,3,0,0,0,0,league3_wave1,1,mixed,0,0,0,3,0
1,2,0,0,1,1,league3_wave1,0,mixed,0,2,2,3,0
2,1,0,0,0,1,league3_wave1,1,treated,0,1,1,3,0
5,2,0,0,0,0,league3_wave1,0,mixed,0,0,0,7,0
4,3,0,1,3,3,league3_wave1,1,treated,1,6,7,7,0
2,1,0,2,6,2,league3_wave1,1,mixed,2,8,10,3,0
1,6,0,0,0,0,league3_wave1,0,mixed,0,0,0,7,0
5,3,0,0,2,0,league3_wave1,1,mixed,0,2,2,8,0
1,1,0,0,1,1,league3_wave1,1,treated,0,2,2,2,0
1,3,1,2,2,1,league3_wave1,0,mixed,3,3,6,4,0
2,5,0,0,1,0,league3_wave1,1,treated,0,1,1,7,0
0,3,0,0,0,0,league3_wave1,0,control,0,0,0,3,0
2,5,0,0,2,2,league3_wave1,1,treated,0,4,4,7,0
1,2,1,0,1,2,league3_wave1,1,treated,1,3,4,3,0
1,2,2,0,5,2,league3_wave1,0,mixed,2,7,9,3,0
3,0,0,0,0,1,league3_wave1,1,mixed,0,1,1,3,0
1,2,0,0,2,2,league3_wave1,1,treated,0,4,4,3,0
5,1,0,0,1,0,league3_wave1,1,mixed,0,1,1,6,0
3,0,0,0,1,0,league3_wave1,1,mixed,0,1,1,3,0
1,1,0,0,2,2,league3_wave1,1,treated,0,4,4,2,0
0,3,0,0,0,0,league3_wave1,1,treated,0,0,0,3,0
0,3,0,0,1,0,league3_wave1,1,treated,0,1,1,3,0
1,4,0,0,2,0,league3_wave1,1,treated,0,2,2,5,0
1,4,0,0,0,2,league3_wave1,0,control,0,2,2,5,0
1,2,0,0,0,3,league3_wave1,1,treated,0,3,3,3,0
0,2,0,0,0,3,league3_wave1,1,mixed,0,3,3,2,0
5,4,0,0,0,0,league3_wave1,0,mixed,0,0,0,9,0
2,5,0,0,3,1,league3_wave1,0,mixed,0,4,4,7,0
4,4,1,2,2,3,league3_wave1,1,treated,3,5,8,8,0
1,12,0,0,0,0,league3_wave1,0,mixed,0,0,0,13,0
4,8,0,1,0,4,league3_wave1,1,treated,1,4,5,12,0
2,1,0,0,0,1,league3_wave1,1,treated,0,1,1,3,0
2,0,0,0,2,0,league3_wave1,0,control,0,2,2,2,0
3,0,0,0,0,0,league3_wave1,0,mixed,0,0,0,3,0
2,2,0,0,0,1,league3_wave1,1,treated,0,1,1,4,0
1,4,0,0,0,1,league3_wave1,1,treated,0,1,1,5,0
0,3,0,0,0,0,league3_wave1,0,mixed,0,0,0,3,0
6,1,0,0,1,0,league3_wave1,1,mixed,0,1,1,7,0
3,4,0,0,1,5,league3_wave1,1,treated,0,6,6,7,0
0,3,0,0,0,0,league3_wave1,1,mixed,0,0,0,3,0
3,5,0,0,0,1,league3_wave1,1,treated,0,1,1,8,1
0,3,0,0,0,0,league3_wave1,0,mixed,0,0,0,3,1
3,4,0,0,3,1,league3_wave1,1,treated,0,4,4,7,0
6,2,0,0,1,0,league3_wave1,1,mixed,0,1,1,8,0
3,4,0,0,0,1,league3_wave1,0,mixed,0,1,1,7,0
1,5,0,1,3,3,league3_wave1,1,treated,1,6,7,6,0
1,4,0,1,3,1,league3_wave1,0,mixed,1,4,5,5,0
